Individual name	Pedigree name	Age	Brood Year	Capture Location (4)	Collected By	Collection Year	Comment	Date Collected	Fork Length (mm)	Hatchery / Wild	HOR / NOR assignment	Latitude	Life History Stage	Longitude	Phenotypic sex	PIT Tag	Population ID	Preservation Method	Project number	Received From	Region (1)	Resident / Anadromous	Run Type	Spawn Date	Spawn Year	Spawned with	Species	Synonym 1	Synonym 2	Synonym 3	Tissue Type	Total Length (mm)	Tributary (3)	Used for broodstock	Watershed (2)	Weight (g)
2759-006	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-007	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-008	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-009	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-010	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-011	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-012	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-013	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-014	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-015	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-016	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-017	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-018	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-019	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-020	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-021	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-022	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-023	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-024	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-025	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-026	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-027	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-028	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-029	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-030	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-031	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-032	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-033	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-034	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-035	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
